,pollster,sponsors,pollster_partisan,sponsoring_candidate_name,sponsoring_candidate_party,geo,margin,start_date,end_date,results,population,sample_size,race_type,ready_at,is_select,url,office_type,nyt_race_id,nyt_matchup_id,fte_question_id,matchup_type,matchup_id,is_partisan,poll_weight_no_time_decay
0,Outward Intelligence,[],,,,US,4,2024-09-01,2024-09-05,"[{'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 52, 'leader': True}, {'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 48, 'leader': False}]",lv,1890,G,2024-09-05 14:02:09,False,https://www.outwardintelligence.com/pulse/harris-leads-by-6,P,US-G-P-2024-11-05,US-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,207864.0,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.0683
1,RMG Research,"[{'sponsor_name': 'Napolitan News Service', 'sponsor_partisan': None}]",,,,US,2,2024-09-03,2024-09-05,"[{'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 50, 'leader': True}, {'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 48, 'leader': False}, {'answer': 'other', 'candidate_name': 'Someone Else', 'party': 'UNK', 'pct': 1, 'leader': False}]",lv,2701,G,2024-09-06 09:26:42,False,https://napolitaninstitute.org/2024/09/06/harris-continues-to-lead-trump-50-to-48/,P,US-G-P-2024-11-05,US-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.2018
2,Emerson College,"[{'sponsor_name': 'Nexstar', 'sponsor_partisan': None}]",,,,OH,10,2024-09-03,2024-09-05,"[{'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 54, 'leader': True}, {'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 45, 'leader': False}, {'answer': 'other', 'candidate_name': 'Someone Else', 'party': 'UNK', 'pct': 1, 'leader': False}]",lv,945,G,2024-09-06 08:39:02,True,https://emersoncollegepolling.com/september-state-polling-california-florida-ohio-texas/,P,OH-G-P-2024-11-05,OH-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.4665
3,Emerson College,"[{'sponsor_name': 'Nexstar', 'sponsor_partisan': None}]",,,,TX,3,2024-09-03,2024-09-05,"[{'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 51, 'leader': True}, {'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 48, 'leader': False}, {'answer': 'other', 'candidate_name': 'Someone Else', 'party': 'UNK', 'pct': 1, 'leader': False}]",lv,845,G,2024-09-06 08:38:16,True,https://emersoncollegepolling.com/september-state-polling-california-florida-ohio-texas/,P,TX-G-P-2024-11-05,TX-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.4411
4,Emerson College,"[{'sponsor_name': 'Nexstar', 'sponsor_partisan': None}]",,,,FL,4,2024-09-03,2024-09-05,"[{'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 51, 'leader': True}, {'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 48, 'leader': False}, {'answer': 'other', 'candidate_name': 'Someone Else', 'party': 'UNK', 'pct': 1, 'leader': False}]",lv,815,G,2024-09-06 08:37:35,True,https://emersoncollegepolling.com/september-state-polling-california-florida-ohio-texas/,P,FL-G-P-2024-11-05,FL-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.4332
5,Emerson College,"[{'sponsor_name': 'Nexstar', 'sponsor_partisan': None}]",,,,CA,23,2024-09-03,2024-09-05,"[{'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 61, 'leader': True}, {'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 38, 'leader': False}, {'answer': 'other', 'candidate_name': 'Someone Else', 'party': 'UNK', 'pct': 1, 'leader': False}]",lv,815,G,2024-09-06 08:36:58,True,https://emersoncollegepolling.com/september-state-polling-california-florida-ohio-texas/,P,CA-G-P-2024-11-05,CA-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.4332
6,Morning Consult,[],,,,US,3,2024-09-02,2024-09-04,"[{'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 49, 'leader': True}, {'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 46, 'leader': False}]",lv,11414,G,2024-09-05 20:46:44,False,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,P,US-G-P-2024-11-05,US-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,207902.0,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.1628
7,Emerson College,[],,,,US,4,2024-09-03,2024-09-04,"[{'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 51, 'leader': True}, {'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 48, 'leader': False}, {'answer': 'other', 'candidate_name': 'Someone Else', 'party': 'UNK', 'pct': 1, 'leader': False}]",lv,1000,G,2024-09-05 13:44:10,True,https://emersoncollegepolling.com/september-2024-national-poll-harris-49-trump-47/,P,US-G-P-2024-11-05,US-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.4799
8,Big Data Poll,[],,,,US,0,2024-08-30,2024-09-03,"[{'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 50, 'leader': True}, {'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 50, 'leader': True}]",lv,3047,G,2024-09-04 13:46:57,False,https://www.youtube.com/live/vN15UFzVuPU,P,US-G-P-2024-11-05,US-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,207759.0,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.3132
9,Morning Consult,[],,,,US,3,2024-09-01,2024-09-03,"[{'answer': 'Harris', 'candidate_name': 'Kamala Harris', 'party': 'DEM', 'pct': 48, 'leader': True}, {'answer': 'Trump', 'candidate_name': 'Donald Trump', 'party': 'REP', 'pct': 45, 'leader': False}]",rv,4000,G,2024-09-06 11:01:57,False,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,P,US-G-P-2024-11-05,US-G-P-2024-11-05-harrisk-trumpd-prefer-h2h,207930.0,harrisk-trumpd-prefer-h2h,harrisk-trumpd-prefer-h2h,False,0.0149
